nome,setor,preco,quantidadePorClique
Frango Inteiro,COMIDA,48.00,1
1/2 Frango,COMIDA,32.00,1
Lanche,COMIDA,20.00,1
Cachorro Quente,COMIDA,12.00,1
Mini Pizza,COMIDA,18.00,1
Porcao (Polenta/Salgado),COMIDA,18.00,1
Porcao (Batata Frita),COMIDA,20.00,1
Pastel Salgado,COMIDA,10.00,1
Pastel Doce,COMIDA,12.00,1
Bolo Padroeira,COMIDA,10.00,1
Agua,BEBIDA,3.50,1
Cerveja ,BEBIDA,6.00,1
Heineken,BEBIDA,8.00,1
Combo (Boa/Brahma) --,BEBIDA,5.00,2
Refri,BEBIDA,6.00,1
Combo (Refri) --,BEBIDA,5.00,2
Suco,BEBIDA,8.00,1
Sobremesa 05,DIVERSO,5.00,1
Sobremesa 08,DIVERSO,8.00,1
Sobremesa 10,DIVERSO,10.00,1
Sobremesa 12,DIVERSO,12.00,1
Sobremesa 14,DIVERSO,14.00,1
Sobremesa 20,DIVERSO,20.00,1
Diversao 02,DIVERSO,2.00,1
Diversao 05,DIVERSO,5.00,1
Diversao 10,DIVERSO,10.00,1
--- Obrigado --- Pela Ajuda,DIVERSO,00.01,1
